CCSUID,CCSNAME,SRUNOM,TOTCOW
4801003,Cypress County,Cypress County,55225.0
4801008,Forty Mile County No. 8,Forty Mile County No. 8,22520.0
4802001,Warner County No. 5,Warner County No. 5,32439.0
4802011,Lethbridge County,Lethbridge County,36038.0
4802021,Taber,Taber,25134.0
4803001,Cardston County,Cardston County,37758.0
4803011,Pincher Creek No. 9,Pincher Creek No. 9,34934.0
4803018,Willow Creek No. 26,Willow Creek No. 26,54660.0
4804004,Special Area No. 2,Special Area No. 2,59020.0
4804012,Special Area No. 3,Special Area No. 3,33664.0
4804020,Special Area No. 4,Special Area No. 4,35702.0
4805001,Vulcan County,Vulcan County,25498.0
4805012,Wheatland County,Wheatland County,34879.0
4805031,Starland County,Starland County,14926.0
4805041,Kneehill County,Kneehill County,28454.0
4806014,Rocky View County,Rocky View County,42041.0
4806016,Calgary,Calgary,2721.0
4806028,Mountain View County,Mountain View County,51965.0
4807001,Provost No. 52,Provost No. 52,35423.0
4807011,Paintearth County No. 18,Paintearth County No. 18,35941.0
4807019,Stettler County No. 6,Stettler County No. 6,51656.0
4807031,Flagstaff County,Flagstaff County,25665.0
4807049,Wainwright No. 61,Wainwright No. 61,30238.0
4808001,Red Deer County,Red Deer County,54554.0
4808022,Lacombe County,Lacombe County,45049.0
4808038,Ponoka County,Ponoka County,55816.0
4809002,Clearwater County,Clearwater County,30995.0
4810001,Camrose County,Camrose County,25674.0
4810016,Beaver County,Beaver County,19200.0
4810026,Minburn County No. 27,Minburn County No. 27,20489.0
4810036,Vermilion River County,Vermilion River County,58410.0
4810048,Two Hills County No. 21,Two Hills County No. 21,22401.0
4810058,Lamont County,Lamont County,13140.0
4811001,Wetaskiwin County No. 10,Wetaskiwin County No. 10,29494.0
4811012,Leduc County,Leduc County,26086.0
4811032,Brazeau County,Brazeau County,12214.0
4811034,Parkland County,Parkland County,20460.0
4811052,Strathcona County,Strathcona County,6976.0
4811059,Sturgeon County,Sturgeon County,12708.0
4811061,Edmonton,Edmonton,1541.0
4812004,Bonnyville No. 87,Bonnyville No. 87,28784.0
4812014,St. Paul County No. 19,St. Paul County No. 19,39643.0
4812022,Smoky Lake County,Smoky Lake County,19183.0
4813018,Barrhead County No. 11,Barrhead County No. 11,27706.0
4813028,Westlock County,Westlock County,29045.0
4813029,Woodlands County,Woodlands County,8460.0
4813044,Athabasca County,Athabasca County,22506.0
4814003,Yellowhead County,Yellowhead County,18379.0
4815015,Bighorn No. 8,Bighorn No. 8,-1.0
4815037,Improvement District No. 12 Jasper Park,Improvement District No. 12 Jasper Park,0.0
4815045,Ranchland No. 66,Ranchland No. 66,4814.0
4816037,Wood Buffalo,Wood Buffalo,0.0
4816051,Improvement District No. 24 Wood Buffalo,Improvement District No. 24 Wood Buffalo,0.0
4817026,Northern Sunrise County,Northern Sunrise County,3709.0
4817062,Clear Hills,Clear Hills,17030.0
4817076,Northern Lights County,Northern Lights County,11074.0
4817095,Mackenzie County,Mackenzie County,9429.0
4818015,Greenview No. 16,Greenview No. 16,21775.0
4819041,Smoky River No. 130,Smoky River No. 130,5524.0
4819049,Birch Hills County,Birch Hills County,3846.0
4819054,Spirit River No. 133,Spirit River No. 133,3209.0
4819059,Saddle Hills County,Saddle Hills County,11519.0
4819066,Fairview No. 136,Fairview No. 136,2363.0
4819071,Peace No. 135,Peace No. 135,5646.0
4802031,Newell County,Newell County,58363.0
4806001,Foothills County,Foothills County,34597.0
4812037,Lac la Biche County,Lac la Biche County,10132.0
4813001,Lac Ste. Anne County,Lac Ste. Anne County,31588.0
4813036,Thorhild County,Thorhild County,9638.0
4817027,Big Lakes County,Big Lakes County,14132.0
4817033,Lesser Slave River No. 124,Lesser Slave River No. 124,5031.0
4819006,Grande Prairie County No. 1,Grande Prairie County No. 1,30498.0
